Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA-RZ-AB0B-01,0,0,0.04390000199407828,0,0,0.18235408606799686,0,0.03486596595945445,0.09939172019665705,0,0.14567498670404339,0,0,0.14581417143277928,0.00685430668273868,0.06825872949108185,0.003921755148103557,0,0.2689642763230667,0,0,0,0.73,-0.0054,1.0997098713935365
TCGA-V3-A9ZX-01,0.0008,0.002108533180082116,0.0030430269461172387,0.2615064716574737,0,0,0,0.09557350994149778,0.0033474033240829064,0,0,0.02469182386226701,0.01661335393854844,0.006838692374951298,0.13358497520102772,0.23156093987166765,0.013260757489030921,0,0.20709883463986412,0,0,0,0.54,0.019061610540876055,1.0945359382050615
TCGA-V3-A9ZY-01,0.10293969047124361,0,0.07536247910965752,0.1086978925149876,0,0.04359308932523363,0,0.012877347834129312,0.07362685332801065,0,0.02199853525547044,0.014063094814356417,0.029290368239504923,0,0.0024894552201906762,0.4783092568050214,0,0,0.036751937082193806,0,0,0,0.41,0.03875655841288127,1.077862411211535
TCGA-V4-A9E5-01,0.012468679710127677,0,0.0031320051948855164,0,0,0.13827102185589127,0,0.008063652322458644,0.06206391397154586,0,0.07317487270298932,0.0033727230566538203,0,0.16187949827349055,0,0.2649591245096767,0.004573929782941787,0,0.26804057861933883,0,0,0,0.12,0.08401814994814141,1.067923702321032
TCGA-V4-A9E7-01,0.04641605493043864,0,0.2010826315719896,0.0841259863157451,0,0,0,0.03851435591648171,0,0,0,0.07465532974951587,0.012709868387769292,0,0.0008,0.4694062066794796,0,0,0.07227565153113492,0,0,0,0.29,0.05043710970300697,1.0665788360620283
TCGA-V4-A9E8-01,0.027329587020298734,0,0.010409426128469334,0.1589229824388426,0,0.057460661847045805,0.0011048018949718107,0.009086261601797842,0.026686857263150628,0,0.06335445058103203,0,0,0.3137332752319537,0.033196904173068316,0.29287739174173066,0,0,0.005837400077638514,0,0,0,0,0.22487886925712228,1.0220874278010628
TCGA-V4-A9E9-01,0.18882226347957368,0,0.12470032951465539,0.037798067281221835,0,0.0007,0,0.050007646604720964,0,0,0.025849339722829698,0.014756084195379573,0.04549060694284061,0,0.008902002085654016,0.4747494250655828,0,0,0.028175946007622483,0,0,0,0.12,0.0855204167669801,1.0591502730934055
TCGA-V4-A9EA-01,0.012611759840321786,0.002596791114789735,0.0034323244844091374,0,0.04241748230597771,0.20201735871931156,0,0.0029496811864949462,0.07584313164649079,0,0.08086567264186215,0,0.02674717590228138,0.19352197461741827,0,0.05878763626314397,0.0008,0,0.2865505356578895,0,0.01085136697714458,0,0.25,0.05658603396950983,1.0769967300476955
TCGA-V4-A9EC-01,0.14113101188349458,0,0.08233344630764408,0.0007,0,0.004374857905372391,0,0.04025765103391529,0.07131612959707939,0,0,0.004633004545826994,0,0.12707055504221254,0.021967069282527733,0.3849642208301885,0,0,0.12127536540994256,0,0,0,0.03,0.14501426265085943,1.034448761842171
TCGA-V4-A9ED-01,0.001451200117849214,0,0.0024776602206078406,0,0,0.10138155314098278,0,0.026617592795926785,0.09433900917032112,0,0.009661405122220457,0.03973494539722702,0.02324224812176286,0.11516980761075382,0.02320500042346847,0.28348410959960185,0.0032906554394860083,0,0.2737986865634252,0,0.002146126276366625,0,0.17,0.07923929177572193,1.0670086095893125
TCGA-V4-A9EE-01,0.05035758447726248,0,0.02097182902069802,0.20932329235464028,0,0,0,0.09172358975581586,0.04819271042029915,0,0.006187854650532216,0,0,0.20458959730639853,0.033649304083239795,0.3341497416454777,0,0,0.0009,0,0,0,0.48,0.027034083601957276,1.100217032672552
TCGA-V4-A9EF-01,0,0.00785079120350264,0,0,0,0.12074420197793999,0,0.013649347556425584,0.16142310231185295,0,0.19238885315397683,0,0.0008,0.0636306950591012,0,0.35868228028350646,0,0,0.08086370837139076,0,0,0,0.41,0.03774691112679383,1.088573128918817
TCGA-V4-A9EH-01,0.0640765433980922,0,0.07164329143782426,0.18730896434956235,0,0.18195675317379276,0,0.027633648457408927,0.04542294403389736,0,0.042214950571899,0.022221375858187117,0.046985675697090626,0,0.04996958428757055,0.2310465156769773,0,0,0.029519753057697582,0,0,0,0.56,0.01849011371414485,1.0815077190259872
TCGA-V4-A9EI-01,0.0003,0.004541605289199846,0.018657368356471464,0,0,0.10465948989643545,0,0.1284817135206264,0.09942457119446906,0,0.10156870085721083,0,0,0.4452480253872929,0.0023439869340410313,0.03160924513184235,0.002214457397024654,0,0.060975717158538764,0,0,0,0.08,0.09901065643032074,1.0868962411352814
TCGA-V4-A9EJ-01,0.08800599801845221,0,0.20280777916241982,0.060558363619686965,0,0.04582269139538521,0,0.027095339854431792,0,0,0.019313426683880162,0.019759389933573804,0.03591311427748554,0.005077624672412103,0.010321394877931525,0.46210842870345253,0,0,0.023216448800888335,0,0,0,0.47,0.02798382053486764,1.073551976301903
TCGA-V4-A9EK-01,0.04530688455500108,0,0.06452314086348437,0.1632767498172669,0,0.047039340656304204,0,0.043386836914965456,0.03163390312180469,0,0.018598598288920194,0,0.006564735212149601,0.021096838725873212,0.018062742188506235,0.519476064835612,0,0,0.02103416482011206,0,0,0,0.56,0.017943594577498966,1.0977935786340014
TCGA-V4-A9EL-01,0.005050298515640115,0,0.0293863848182445,0.2388038139285686,0,0,0.001336979106821364,0.0656806659035944,0.04584622120789456,0,0,0.020997391214948074,0.03304895836794993,0,0.06852677038336559,0.3656382708589107,0.0016612303865261488,0,0.124023015307536,0,0,0,0.21,0.07108639718522597,1.0614409426090654
TCGA-V4-A9EM-01,0.0009,0.0008,0.012672316470645185,0.03802132309275698,0,0.32240906921325646,0,0.05343692628894312,0.07449535987873755,0,0.047998309313289224,0.006702052030017531,0.04943674489713065,0.18082882306906065,0.006650444676381181,0.038007540884947684,0,0,0.15289415315466306,0,0.014662189009998113,0,0.41,0.037806834860442964,1.0802767350156175
TCGA-V4-A9EO-01,0,0.0021638699483381603,0.019936131786692766,0,0.005972180077905527,0.15742775682154192,0,0.008498010815711646,0.0639662887676209,0,0.12912957563486213,0,0.025261427256806798,0.1294117881521956,0.007693664857926315,0.12490525384989762,0,0,0.31951158554668346,0,0.006122466483817241,0,0.78,-0.0091,1.106285053925623
TCGA-V4-A9EQ-01,0,0.005769142446644448,0.021584379174388418,0,0.06499399900286393,0.08095359482160394,0,0.010007473127048057,0.08500167497569101,0,0.07845133150037624,0,0,0.10508408965512635,0,0.3573121063126464,0.002209650900495091,0,0.1886325580831161,0,0,0,0.23,0.06525043408417286,1.0685269026558564
TCGA-V4-A9ES-01,0,0.015436353568038099,0.13469414836170873,0,0.022360216839518457,0.11278013596981971,0,0.014634021081180303,0.027087484484179122,0,0.10956195651721384,0.07883584685585722,0.08264478035326805,0.35619936261818735,0,0.03621860116506988,0,0,0.00954709218595924,0,0,0,0.18,0.07320613143048753,1.0815957392005668
TCGA-V4-A9ET-01,0.011126251804276555,0.0006,0.010882095673194824,0,0,0.2456269332681187,0,0.017526183179212517,0.07078554878316984,0,0,0.07072254696626722,0.12504285106169372,0.15884808937835443,0,0.1648196501360433,0.0079531595050051,0,0.09744253135443065,0,0.018576938255673154,0,0.17,0.07779314363795159,1.0567028664373777
TCGA-V4-A9EU-01,0,0.008500356751428557,0,0,0.037459949509764105,0.20003948991208603,0,0.0183313752617313,0.07438332209867213,0,0.11697309027934229,0,0,0.16980315713320573,0.0012528589762306308,0.2740862573798612,0.0011809608043692893,0,0.09794369421055882,0,0,0,0.41,0.036950888453901196,1.083632979223757
TCGA-V4-A9EV-01,0.006948781341168496,0,0.033556743414588565,0.45906352328557404,0,0,0.006359617714375249,0.06621194852064717,0.06252167264879936,0,0,0.0553472271977544,0.026443022714109077,0.023368646541768824,0.044985827911070864,0.11754402478411187,0.0026273726112155072,0,0.09502159131481656,0,0,0,0.03,0.1313446870399616,1.063743198321233
TCGA-V4-A9EW-01,0.044068388010475114,0,0.020520242890643,0.016708023951441116,0,0.11032843956826939,0,0.008902435797032092,0.026795327851433362,0,0.042098473403306524,0.016332674221337936,0.032972904895984825,0.17315541643287774,0.014084877751373102,0.38925951108154716,0,0,0.10477328414427864,0,0,0,0.29,0.04944773342049027,1.0864745050011146
TCGA-V4-A9EX-01,0.0001,0.009810752651459012,0.024340215458749457,0,0,0.2879534978593837,0,0.026175706909679974,0.09113384273773104,0,0.12713332166804472,0,0,0.2986836472821926,0.004163134573090802,0.11532024833689197,0.002130030763963312,0,0.013059417552660399,0,0,0,0.41,0.039292471685682076,1.099490850219512
TCGA-V4-A9EY-01,0.0021906599065507127,0.0031398584100838416,0.024620685206690664,0,0.06413853716022817,0.10811805830400416,0,0.010255125919924607,0.06646350401964056,0,0.04178970427627549,0.00945121421810906,0,0.12199220676817213,0.007057839329442835,0.29734288781617113,0.005454394695444454,0,0.2379853239692622,0,0,0,0.08,0.10300899591335487,1.0524419025716014
TCGA-V4-A9EZ-01,0.0627124626060419,0,0.1295784187357075,0.06934504219239779,0,0.04451329297992552,0,0.005866497604619804,0.09527413306237227,0,0.044445263744952855,0.012731858623437784,0.10301727362883847,0.13058426656620095,0.017508269209322174,0.2672271223716592,0,0,0.0171960986745238,0,0,0,0.25,0.06070714743353108,1.0552794204420668
TCGA-V4-A9F0-01,0,0.006401530521968688,0.0064009982078342504,0,0.018767215906255134,0.14051485572926245,0,0.010353643746555619,0.08858795110187792,0,0.12007158201679687,0,0,0.18854713773335988,0.008232877828040625,0.1849217395494557,0.0006,0,0.22486480649682913,0,0.001762713962444718,0,0.06,0.10905638896897372,1.0511728381535153
TCGA-V4-A9F1-01,0,0.0033379362943758107,0.007200602358148598,0.0324897858671314,0,0.17256035863447503,0,0.011362414285393332,0.016198978391198004,0,0.00604423782775482,0.03042580472918607,0.02856429466961321,0.08466342640482726,0.006917754278190709,0.41612402287349326,0,0,0.18411038338621244,0,0,0,0.17,0.07558894650130236,1.071619610921884
TCGA-V4-A9F2-01,0.01364637260078529,0,0.014720190145550241,0.03878770737141142,0,0.15021185789194064,0,0.021523234226479785,0.08052503112161856,0,0.06502013964841193,0.03198945134755359,0.1263378317010465,0.060635853361892866,0.01756994132615904,0.2258055028640026,0.0008,0,0.152389032954681,0,0,0,0.48,0.02698703079408895,1.0709741572859468
TCGA-V4-A9F3-01,0.003996812305418389,0,0.025538748183606807,0.4140520665944314,0,0,0.024376729072115015,0.06458348323595194,0.03037549396932221,0,0.022447541436999917,0.008632290375374056,0.03700127098389098,0.07225258602351972,0.07115222460431506,0.12483819501039747,0.00558657910914053,0,0.0951659790955165,0,0,0,0.41,0.04074133703109927,1.0897366924576495
TCGA-V4-A9F4-01,0.009647647763941307,0,0,0,0,0.26118760887951165,0,0.0004,0.07863324025458693,0,0.094568761382947,0,0.055437065100632635,0.09468462933732058,0.009593543552052969,0.128560128822775,0,0,0.2611716134152642,0,0.006138497184062924,0,0.71,-0.0006,1.0925642462461322
TCGA-V4-A9F5-01,0.08731196611598041,0,0.10919796161696406,0,0.018228562218756263,0,0,0.06348086754848405,0.043309944068324155,0,0.05615145777294584,0.02598281290923613,0,0.23085471742861455,0.0025481880050175925,0.32295338524007733,0,0,0.039980137075599664,0,0,0,0.04,0.11573201984694985,1.0524827556748633
TCGA-V4-A9F7-01,0,0.018480518713266763,0.07114679010585517,0,0.044072021574938856,0.16118029756781013,0,0.0693320934797079,0.02226446875064701,0,0.14490342137424686,0,0.03562465194644617,0.16529153818813144,0.012624065128112639,0.031202299653115877,0.0037385385122502435,0,0.22013929500547094,0,0,0,0.49,0.022859216631751753,1.0772143495107336
TCGA-V4-A9F8-01,0.07101747360921916,0,0.09448589205415896,0.01775916460318693,0,0.08161467898317776,0,0.0047301611048439765,0.07263850760717622,0,0.16550220171434765,0,0.1357350642625897,0.004731842122597923,0.00837210898216855,0.34115338255089,0,0,0.002259522405643212,0,0,0,0.55,0.01897259362858762,1.0803676056471927
TCGA-VD-A8K7-01,0.18565128117733462,0,0.07428882226136364,0,0.0004,0.05240590663682701,0,0.053029195112131285,0.02270751066660028,0,0.03223534394643738,0.03696666289931751,0.08733415848995796,0.050630002981467,0,0.2141066538531643,0,0,0.19022900518761146,0,0,0,0.72,-0.0051,1.0765353465262049
TCGA-VD-A8K8-01,0.007453292051356823,0,0.041367633797469876,0.5443467714888541,0,0,0,0.048719235340736425,0.0951023840504024,0,0,0.01161754055238111,0.0054807401533667486,0,0.03517844194406287,0.21073396062136956,0,0,0,0,0,0,0.41,0.04012633352801271,1.1250401190563863
TCGA-VD-A8K9-01,0.07055049836010949,0,0.08217232336888025,0,0,0.05767828065724204,0,0.027868610808091224,0,0.007127074600318517,0,0.0005,0.015284014011044737,0.18814095795693003,0.01582507323268385,0.3746153415974823,0,0,0.15693525577994988,0,0.0033047302233460804,0,0.18,0.07408722438979806,1.0764644913889037
TCGA-VD-A8KA-01,0.019761986580048706,0,0.11119115166430463,0,0,0.22334935298991132,0,0.015048542046884517,0.015245051429477994,0,0.03053779136989775,0.038599138982511126,0.009594914752698976,0.2629242256214547,0.0024326217266882207,0.13557897185662057,0,0,0.1357362509795015,0,0,0,0.25,0.06180826712820221,1.06437596193356
